jobNumber,StartTime,EndTime,JobLength,ElapsedTime
643,1/1/2020 12:00:00 AM,1/1/2020 1:36:31 AM,5281,5791,1893
511,1/1/2020 12:00:00 AM,1/1/2020 1:37:10 AM,5657,5830,1374
292,1/1/2020 12:00:00 AM,1/1/2020 1:37:46 AM,5681,5866,711
394,1/1/2020 12:00:00 AM,1/1/2020 1:37:56 AM,5747,5876,992
191,1/1/2020 12:00:00 AM,1/1/2020 1:38:47 AM,5096,5927,447
348,1/1/2020 12:00:00 AM,1/1/2020 1:39:06 AM,5857,5946,865
416,1/1/2020 12:00:00 AM,1/1/2020 1:39:14 AM,5798,5954,1065
201,1/1/2020 12:00:00 AM,1/1/2020 1:39:28 AM,5676,5968,481
650,1/1/2020 12:00:00 AM,1/1/2020 1:39:35 AM,5178,5975,1932
114,1/1/2020 12:00:00 AM,1/1/2020 1:40:15 AM,5621,6015,264
424,1/1/2020 12:00:00 AM,1/1/2020 1:40:25 AM,5485,6025,1096
341,1/1/2020 12:00:00 AM,1/1/2020 1:41:01 AM,5925,6061,845
44,1/1/2020 12:00:00 AM,1/1/2020 1:41:09 AM,5395,6069,103
32,1/1/2020 12:00:00 AM,1/1/2020 1:41:22 AM,5929,6082,75
413,1/1/2020 12:00:00 AM,1/1/2020 1:41:28 AM,5889,6088,1057
151,1/1/2020 12:00:00 AM,1/1/2020 1:41:42 AM,6005,6102,356
124,1/1/2020 12:00:00 AM,1/1/2020 1:42:07 AM,5860,6127,284
458,1/1/2020 12:00:00 AM,1/1/2020 1:42:24 AM,5737,6144,1196
373,1/1/2020 12:00:00 AM,1/1/2020 1:42:25 AM,5701,6145,935
173,1/1/2020 12:00:00 AM,1/1/2020 1:42:51 AM,5671,6171,406
133,1/1/2020 12:00:00 AM,1/1/2020 1:42:55 AM,5716,6175,305
585,1/1/2020 12:00:00 AM,1/1/2020 1:43:01 AM,5864,6181,1662
40,1/1/2020 12:00:00 AM,1/1/2020 1:43:09 AM,5393,6189,93
403,1/1/2020 12:00:00 AM,1/1/2020 1:43:19 AM,5840,6199,1021
152,1/1/2020 12:00:00 AM,1/1/2020 1:43:20 AM,6026,6200,360
235,1/1/2020 12:00:00 AM,1/1/2020 1:43:30 AM,6057,6210,560
521,1/1/2020 12:00:00 AM,1/1/2020 1:44:08 AM,5627,6248,1413
2,1/1/2020 12:00:00 AM,1/1/2020 1:44:18 AM,5879,6258,3
265,1/1/2020 12:00:00 AM,1/1/2020 1:44:39 AM,5676,6279,636
256,1/1/2020 12:00:00 AM,1/1/2020 1:44:42 AM,5911,6282,615
452,1/1/2020 12:00:00 AM,1/1/2020 1:45:13 AM,6150,6313,1178
259,1/1/2020 12:00:00 AM,1/1/2020 1:45:29 AM,5943,6329,623
178,1/1/2020 12:00:00 AM,1/1/2020 1:45:51 AM,6082,6351,417
479,1/1/2020 12:00:00 AM,1/1/2020 1:45:53 AM,6236,6353,1263
132,1/1/2020 12:00:00 AM,1/1/2020 1:46:11 AM,5819,6371,303
334,1/1/2020 12:00:00 AM,1/1/2020 1:46:35 AM,6254,6395,827
584,1/1/2020 12:00:00 AM,1/1/2020 1:46:35 AM,6217,6395,1659
725,1/1/2020 12:00:00 AM,1/1/2020 1:47:14 AM,6320,6434,2344
